id,fake,real
TEST_00000,0.5186735987663269,0.6003241539001465
TEST_00001,0.3566562533378601,0.9124355912208557
TEST_00002,0.5147426724433899,0.6633241772651672
TEST_00003,0.5113532543182373,0.45329415798187256
TEST_00004,0.2984205484390259,0.9835083484649658
TEST_00005,0.25356924533843994,0.9939378499984741
TEST_00006,0.16261939704418182,0.9999868869781494
TEST_00007,0.40768641233444214,0.6660565733909607
TEST_00008,0.5052803158760071,0.6021084785461426
TEST_00009,0.5070210099220276,0.5830658078193665
TEST_00010,0.18107137084007263,0.9993545413017273
TEST_00011,0.2909626066684723,0.990319013595581
TEST_00012,0.39908576011657715,0.717320442199707
TEST_00013,0.3411174714565277,0.9093554019927979
TEST_00014,0.38083040714263916,0.7416132092475891
TEST_00015,0.3465602695941925,0.8800315856933594
TEST_00016,0.21990790963172913,0.9959812164306641
TEST_00017,0.30564889311790466,0.9611619114875793
TEST_00018,0.3323759436607361,0.9838454723358154
TEST_00019,0.45041847229003906,0.6767458915710449
TEST_00020,0.3026841878890991,0.973238468170166
TEST_00021,0.36970967054367065,0.8862909078598022
TEST_00022,0.4074845016002655,0.8629700541496277
TEST_00023,0.4576945900917053,0.5422994494438171
TEST_00024,0.35745948553085327,0.890712559223175
TEST_00025,0.3872411251068115,0.8308403491973877
TEST_00026,0.3807884454727173,0.8231983780860901
TEST_00027,0.2919628918170929,0.9891730546951294
TEST_00028,0.3451332747936249,0.8988701105117798
TEST_00029,0.4072532057762146,0.6474787592887878
TEST_00030,0.4897668957710266,0.6344795823097229
TEST_00031,0.3071974515914917,0.9852012991905212
TEST_00032,0.3118247091770172,0.959503173828125
TEST_00033,0.3327905535697937,0.8893183469772339
TEST_00034,0.5184041261672974,0.43539443612098694
TEST_00035,0.3348981738090515,0.8848378658294678
TEST_00036,0.3858461081981659,0.6717155575752258
TEST_00037,0.33943837881088257,0.9183167815208435
TEST_00038,0.29647162556648254,0.9614490270614624
TEST_00039,0.5037893652915955,0.5642702579498291
TEST_00040,0.14550292491912842,0.999627947807312
TEST_00041,0.3716369867324829,0.8986158967018127
TEST_00042,0.1834871619939804,0.9998238682746887
TEST_00043,0.2506657838821411,0.9905059933662415
TEST_00044,0.38609403371810913,0.9032729268074036
TEST_00045,0.33278846740722656,0.8861676454544067
TEST_00046,0.2917858362197876,0.9764858484268188
TEST_00047,0.1328859031200409,0.9999958276748657
TEST_00048,0.23698487877845764,0.9962922930717468
TEST_00049,0.18627594411373138,0.9983446598052979
TEST_00050,0.3827372193336487,0.8646809458732605
TEST_00051,0.47468969225883484,0.6321231722831726
TEST_00052,0.29782530665397644,0.9709539413452148
TEST_00053,0.2799297571182251,0.06544554978609085
TEST_00054,0.513887345790863,0.6687098741531372
TEST_00055,0.4692857265472412,0.5537182092666626
TEST_00056,0.17265622317790985,0.9998482465744019
TEST_00057,0.19687213003635406,0.9996335506439209
TEST_00058,0.42329874634742737,0.04014282673597336
TEST_00059,0.509809136390686,0.5095360279083252
TEST_00060,0.2884860336780548,0.9869945645332336
TEST_00061,0.22466056048870087,0.9953437447547913
TEST_00062,0.34986412525177,0.8779974579811096
TEST_00063,0.5041313767433167,0.5352172255516052
TEST_00064,0.5086098909378052,0.5100221633911133
TEST_00065,0.35700666904449463,0.8028112053871155
TEST_00066,0.19810885190963745,0.9992243051528931
TEST_00067,0.24779005348682404,0.9883691072463989
TEST_00068,0.45238757133483887,0.5804412364959717
TEST_00069,0.5093007683753967,0.5419346690177917
TEST_00070,0.448773056268692,0.6789039969444275
TEST_00071,0.4947272539138794,0.6497948169708252
TEST_00072,0.34958547353744507,0.8269846439361572
TEST_00073,0.27203649282455444,0.9620428681373596
TEST_00074,0.41143015027046204,0.7751724720001221
TEST_00075,0.38131430745124817,0.9707908034324646
TEST_00076,0.33471760153770447,0.0008871369645930827
TEST_00077,0.33820024132728577,0.9118967056274414
TEST_00078,0.31939107179641724,0.9146984219551086
TEST_00079,0.38945943117141724,0.14433950185775757
TEST_00080,0.3582387864589691,0.7387661933898926
TEST_00081,0.27518054842948914,0.9895941019058228
TEST_00082,0.2831439971923828,0.9654444456100464
TEST_00083,0.5048815011978149,0.42454344034194946
TEST_00084,0.34150001406669617,0.8392422199249268
TEST_00085,0.35239583253860474,0.9128513336181641
TEST_00086,0.5131322741508484,0.5161082744598389
TEST_00087,0.4034062922000885,0.6128502488136292
TEST_00088,0.42454952001571655,0.7847367525100708
TEST_00089,0.35316720604896545,0.826176106929779
TEST_00090,0.3951766788959503,0.7721684575080872
TEST_00091,0.31960758566856384,0.9179987907409668
TEST_00092,0.31461748480796814,0.9375585317611694
TEST_00093,0.35354506969451904,0.7784843444824219
TEST_00094,0.5122113227844238,0.5158068537712097
TEST_00095,0.33551791310310364,0.8709010481834412
TEST_00096,0.49804678559303284,0.6064329147338867
TEST_00097,0.43461814522743225,0.695803701877594
TEST_00098,0.5068899989128113,0.5140091180801392
TEST_00099,0.5060692429542542,0.6721252799034119
TEST_00100,0.41547128558158875,0.7386332154273987
TEST_00101,0.261654794216156,0.9861719012260437
TEST_00102,0.5157380104064941,0.4140092730522156
TEST_00103,0.32581570744514465,0.0007467911345884204
TEST_00104,0.384921133518219,0.8162341117858887
TEST_00105,0.31335678696632385,0.958461344242096
TEST_00106,0.42930299043655396,0.7026312351226807
TEST_00107,0.3964836597442627,0.7530617713928223
TEST_00108,0.21005620062351227,0.9997876286506653
TEST_00109,0.321828156709671,0.9303560256958008
TEST_00110,0.41816410422325134,0.03288865089416504
TEST_00111,0.3609560430049896,0.8622174263000488
TEST_00112,0.3167802095413208,0.976972222328186
TEST_00113,0.36405035853385925,0.7624222040176392
TEST_00114,0.49065524339675903,0.6229715943336487
TEST_00115,0.33130380511283875,0.9155740737915039
TEST_00116,0.5016112327575684,0.482904851436615
TEST_00117,0.5127540826797485,0.59312504529953
TEST_00118,0.38010525703430176,0.8877201080322266
TEST_00119,0.31493520736694336,0.9175124168395996
TEST_00120,0.3368295431137085,0.8670914769172668
TEST_00121,0.3385617434978485,0.912337064743042
TEST_00122,0.28686681389808655,0.9486683011054993
TEST_00123,0.4098099172115326,0.6299958229064941
TEST_00124,0.4976249933242798,0.5455377697944641
TEST_00125,0.5219606161117554,0.6111782193183899
